"mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
1,1,"x[, 14]",0.54414629758648,0.543241825954707,0.539323592759339,362.75295104845,3288.97495690016,1851.00549356755,3301.65456690802,19549.6533803586,38.7883876047346,0.459471588940612,0.0768104918833288
2,1,"x[, 7]",0.483525455991334,0.482500704911952,0.476227236824455,477.75048509697,3352.15111722507,1913.78352803559,3364.83072723294,22149.4270238239,43.9465878963376,0.520573548326195,0.0870249897291323
3,1,"x[, 12]",0.257847318009224,0.256374792846544,0.250823409720289,905.861159144137,3535.59078671692,2096.24192291124,3548.27039672478,31827.8158352255,63.1494396964181,0.748042782641496,0.125051331719868
4,1,"x[, 4]",0.233990030444475,0.232470169393769,0.227484536369649,951.118353977477,3551.60072380057,2112.17815170278,3564.28033380843,32850.9548379735,65.1794456223537,0.772089413758347,0.129071239824482
5,1,"x[, 11]",0.219525921044219,0.217977361363751,0.213027209972936,978.556721203488,3561.06613378542,2121.60084049592,3573.74574379328,33471.2598255901,66.4101902204648,0.786668317677652,0.131508415066903
6,1,"x[, 6]",0.182603042501699,0.180981223141583,0.17676965803394,1048.59929848607,3584.45513389179,2144.88696523023,3597.13474389965,35054.7272264023,69.5519414375925,0.823884234938764,0.137729850688866
7,1,"x[, 2]",0.150780469049757,0.149095509662951,0.136801341551807,1108.96661404548,3603.78073109394,2164.13039855854,3616.4603411018,36419.4639332946,72.2597099762679,0.855959368497467,0.143091894491287
8,1,"x[, 10]",0.145638579912325,0.143943418364532,0.138876605370856,1118.72076056664,3606.83524259551,2167.17215504404,3619.51485260337,36639.9779925746,72.6972310226636,0.861142066278847,0.143958293144549
9,1,"x[, 8]",0.142094744077804,0.140392551109705,0.135490691857809,1125.44340530926,3608.92975686457,2169.25795924175,3621.60936687243,36791.9582481587,72.9987744284298,0.864714027794594,0.1445554228205
10,1,"x[, 3]",0.129920844894289,0.128194497364318,0.122899913680309,1148.53725140281,3616.05956065878,2176.35833336411,3628.73917066664,37314.0457250511,74.0346460637616,0.876984545225597,0.146606701946836
11,1,"x[, 13]",0.111196118246363,0.109432618480979,0.10664833387067,1184.05799531832,3626.83352281849,2187.08846363724,3639.51313282635,38117.0707167772,75.6279246774201,0.895857880815174,0.149761783185824
12,1,"x[, 9]",0.0624643721217825,0.0606041823839288,0.0552068746708686,1276.50195496559,3653.84286897884,2213.99125535619,3666.52247898671,40206.9709200906,79.7744871542145,0.944976386829632,0.157972990795513
13,1,"x[, 5]",0.0307161297087748,0.028792947426451,0.0204267346538198,1336.72826479239,3670.69406583897,2230.77833254749,3683.37367584683,41568.5198804781,82.4759308980403,0.976976599420521,0.16332250995761
14,2,"x[, 7] x[, 14]",0.63856160626034,0.637124475470123,0.629769567182705,185.64742581613,3173.5423142992,1735.8671505144,3190.44846097635,15531.4544257486,30.876434607645,0.365749786110312,0.061144326080622
15,2,"x[, 12] x[, 14]",0.606654615349312,0.605090617796029,0.600526850490294,246.174881013495,3216.34812235732,1778.24387127399,3233.25426903447,16902.5372541942,33.6021387261197,0.398037377310537,0.0665420134605647
16,2,"x[, 5] x[, 14]",0.562554270634102,0.560814923797657,0.554893684762783,329.83308765484,3270.1180016968,1831.50620047552,3287.02414837395,18797.5835635175,37.3694789792822,0.442663769875233,0.0740024435206787
17,2,"x[, 9] x[, 14]",0.562228425542931,0.560487783099762,0.554818459579816,330.451214704555,3270.49477126713,1831.87953800695,3287.40091794428,18811.5855297475,37.3973148008883,0.442993501786577,0.0740575665481473
18,2,"x[, 7] x[, 12]",0.561253462127292,0.559508943090025,0.553413143226569,332.300717047904,3271.62043355483,1832.99495681707,3288.52658023198,18853.4809125265,37.4806025607645,0.443980094984509,0.0742225005508295
19,2,"x[, 7] x[, 11]",0.56056393776909,0.558816677084275,0.550897436357178,333.608742452586,3272.41502774722,1833.78232954182,3289.32117442437,18883.1106262768,37.5395062470501,0.444677844285355,0.0743391469916302
20,2,"x[, 8] x[, 14]",0.5512689379421,0.549484719007476,0.542805478667632,351.24132608156,3283.00637143047,1844.27815149884,3299.91251810762,19282.5282551196,38.3335460040518,0.454083718861771,0.0759115767893073
21,2,"x[, 11] x[, 14]",0.550570176394866,0.548783179084309,0.543331946740874,352.566874402985,3283.79369900147,1845.05843285252,3300.69984567862,19312.5549022974,38.3932387915177,0.454790815536805,0.0760297858800865
22,2,"x[, 13] x[, 14]",0.548789707344987,0.546995630634629,0.542797931048962,355.944418244314,3285.79431722089,1847.0411804141,3302.70046389804,19389.0638575817,38.5453381178254,0.456592522786087,0.0763309868096167
23,2,"x[, 3] x[, 14]",0.54789950296355,0.546101886673147,0.540313558835752,357.633132982854,3286.79163413102,1848.02960691733,3303.69778080817,19427.3170399203,38.6213852059238,0.45749334590766,0.0764815821750227
24,2,"x[, 2] x[, 14]",0.547586244394451,0.545787382543136,0.541576997614087,358.227383442235,3287.14211803293,1848.37696936577,3304.04826471008,19440.7781477431,38.6481458043871,0.457810341159492,0.0765345759477604
25,2,"x[, 4] x[, 14]",0.546457780511169,0.544654431725925,0.538716986193301,360.368075660052,3288.40267160496,1849.62630864267,3305.30881828211,19489.2696353046,38.7445465794645,0.458952265844563,0.0767254775366472
26,2,"x[, 10] x[, 14]",0.544733839507991,0.542923636086551,0.537567320168622,363.638385985577,3290.32236163668,1851.52895761229,3307.22850831383,19563.3495105678,38.8918169098279,0.460696770756327,0.0770171156488894
27,2,"x[, 6] x[, 14]",0.544258576785647,0.542446483651594,0.536851422474705,364.539957782612,3290.85031104923,1852.05222828114,3307.75645772638,19583.7721370518,38.9324169640061,0.461177702616512,0.0770975155714551
28,2,"x[, 7] x[, 13]",0.544256329577455,0.542444227508181,0.535194841575939,364.544220729046,3290.8528060705,1852.05470119931,3307.75895274765,19583.8687023648,38.9326089352465,0.461179976630368,0.077097895730378
29,2,"x[, 2] x[, 7]",0.541959173849408,0.540137937960141,0.532520428481452,368.901917473263,3293.39687034677,1854.57626727964,3310.30301702392,19682.5803227045,39.1288470213191,0.463504533818392,0.077486504249358
30,2,"x[, 7] x[, 10]",0.541642594195317,0.53982009954003,0.531205071410494,369.502468019783,3293.74647667677,1854.92278804463,3310.65262335392,19696.1841416534,39.1558913286117,0.463824889770544,0.077540059848142
31,2,"x[, 4] x[, 7]",0.536298400585631,0.534454656651578,0.526874129367884,379.640385449173,3299.61202808287,1860.73679241962,3316.51817476002,19925.830745138,39.6124273452003,0.469232831216528,0.078444134020583
32,2,"x[, 6] x[, 7]",0.535438013080613,0.533590848122683,0.526163933807993,381.272537672727,3300.55002933299,1861.66658914094,3317.45617601014,19962.8026594507,39.685927280448,0.470103481793177,0.0785896852820807
33,2,"x[, 7] x[, 8]",0.530275480414196,0.528407788487413,0.521240408679084,391.065844899436,3306.14203584873,1867.20990464276,3323.04818252588,20184.6430677158,40.126944629588,0.475327595366152,0.0794630279767825
34,2,"x[, 3] x[, 7]",0.506338129542469,0.504375259282201,0.497902134915002,436.474919558722,3331.29247021756,1892.14601561551,3348.19861689471,21213.2606152062,42.1718299037392,0.499550481238336,0.0835124959153252
